,Cr,Fe,Cd,Zn,Cu,Pb
cueO,-0.005668299485640049,-0.10144460405539277,-0.009209541044301578,-0.019993155012477965,0.6838174731006085,0.022710580403275872
rpoH,0.03518337709542393,-0.026817754993353926,0.015070193712594616,0.0014372550197183336,0.05979045347617267,0.04026875872268553
b4285,0.038599347883502534,-0.18712044586042245,0.032650662051110065,0.04667497462103027,0.037773645681924116,-0.000944017169754792
cusC,-0.005418874887622389,-0.02994075258498771,0.016955204667409005,0.04419927130808829,0.07619342543565988,-0.03603763992011869
nac,-0.013287618234857055,-0.11212226061247435,0.0429196518137498,0.023542757856561482,0.0453710019729393,0.050000709607315744
yiaT,0.010590893931307532,-0.10445957225084608,0.045205067929659074,0.8174322016982297,-0.03246668354851517,0.14375109597159116
wrbA,0.010326142231400845,-0.22931518124399888,0.009555661029133968,-0.054878918846681085,0.02090889888211675,0.028792091952812553
ybdR,0.005733210457712803,-0.11584777348294105,0.008257088352178588,0.06232483229438706,0.02255673295969654,-0.004479611784059437
yidK,0.027374376567027243,-0.023801857166093916,0.007834592951817189,0.01674989081847612,0.01094677303480263,0.03736068819980111
appA,0.04473448659413147,-0.042633840307405385,0.024206352007140636,0.053310664960449235,0.033215920696416,0.019884046898170027
ybeR,0.05908562607033508,-0.10857001488440525,0.021950992116847413,0.07855954640648824,0.03929100042722047,0.059070967033504534
rsuA,-0.00418461180852055,-0.053399317799845955,0.014584984313060401,0.060060595723475926,0.036782184705773616,0.03195125803850953
yidR,0.025208797929404603,0.0030083502666783334,0.013400973681789809,0.08844861486030522,0.025763585566527695,-0.04642738344673895
phoH,-0.0024930293844117597,0.09711220457348395,0.052029025774674276,0.020069781890052124,0.09208169536679538,0.05343881760067959
ybeU,-0.014517632551804511,-0.029724229425928346,0.019290181922308906,0.01825990693932674,-0.011243166944040699,-0.00021131972648089946
yfiC,0.015293783897296508,0.010750095023435225,0.03761083234385713,0.022874334821451542,0.010424623425604252,0.04560748521425002
yidH,0.05610206459752526,-0.011628191140530786,0.007141440296576084,0.08100364260579178,0.08278961277322328,0.04716080203129646
ycjY,0.007701369606051921,-0.1574106401481845,0.021386656716670182,0.017055405570535944,-0.0013135448554892437,0.04581365701425575
ubiF,0.03408883225942994,-0.07098820607999894,0.0027966521386233833,0.023647539531771,0.04023361832449747,0.045949152856185775
yagY,0.0016771992529365917,-0.050361686477936055,0.007487329821943336,0.020229360034695613,0.018100568430842862,0.031530602357709936
yajG,-0.017588313745630423,-0.019825096591084165,0.044251812663156906,0.05124172979757893,0.060606668600143764,0.017680106204417383
fepA,0.0647943195273198,-0.27153372590825764,0.07695617629769191,0.06894333390882436,0.0875985484069685,0.07582181462976811
ybhE,0.017377958747797653,-0.126153505694001,0.00869930434571573,0.00865051389430519,0.007888934053929346,0.05761877615666569
yagZ,0.013164693252747507,-0.08137025993129895,0.006108436015241253,-0.0031835490858818406,0.001296072877914016,0.04163563159724602
mlc,0.05919624977678659,0.15412129881989245,0.004988110942793168,0.07477751708366694,0.24012758213673702,0.04452722259265217
narX,0.019985920760229266,-0.04278117868458091,0.008648728234774894,0.04094963865946765,0.014231398822782895,0.026882124514649556
ugpB,0.10977686080496978,1.3932058155835016,-0.009908747412319832,0.15625566288414053,0.13356299784718292,0.06284867535632419
ykgI,0.02293780478536202,-0.08442489249398004,-0.0038925546852809773,0.039971609348084094,0.0277793933248032,0.04417755116048414
pitB,-0.0067023429240384335,-0.10347790340783854,0.011529693086748621,-0.10534569537417207,-0.014149012024988009,-0.02802077397742717
yciI,0.02284607094220606,-0.02441732074424116,0.010575912783857118,0.0912124303900698,0.045071230028017314,0.02594403909098967
dctA,0.024454552852222027,0.01579969545078744,0.022386712175728816,0.053877615847077745,0.05940525998358042,0.06277294889438635
b0309,0.0013249783081099578,-0.044234826427743505,0.013967786893241388,0.028400758112844336,0.01684339300420688,0.05766318768487451
fecA,0.011249660079351026,-0.017991790888669326,0.0015439032985323886,0.06409345139294569,0.01677063611500766,0.05903071768049363
uxaC,0.04920225942983136,-0.026945139785814736,0.03917810024006724,0.0981696724170381,0.026217265940433054,0.0733197188350018
dppA,0.02479320129009748,-0.0005725578480978952,0.01783277346833502,0.026761181901178214,0.07145741319972393,0.060155653770152785
yafK,-0.004466741054646591,-0.06097727515171318,-0.015658940971170644,0.12615445521212984,0.002683186123776611,0.06440376885939865
ychM,0.0161026776222891,0.05468860249883977,-0.004996877422745952,0.028650758015443777,0.2250068925896291,0.051033125424885285
