,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
yabI,-0.008043654140724677,-0.0002881774834531825,0.002099185646511614,0.007601709645241499,-0.000552679485444969,-0.000451895130390767,0.0009752413525026948,0.0015990399767179043,-0.005122941371519118,0.017774045444661525,0.0012999636528547853,-0.002989697620517226,0.0189932105083441,-0.0054948641359806065,0.0027849543723277746,-0.004681291035376489,0.001724263345070108,-0.0006101955355077115,0.0020267297499410716,-0.0016288203803421137,0.000685094650107203,9.180868228440886e-05,7.630347200091592e-06,-0.005473989364691079,0.0004729171785809215,0.00016048222401877866,0.009912256844975847,-0.000589457401074469,-0.001016333272564225,-0.012118924940004945,-0.0005707884405273944,-0.0016345088840509303,-0.005512163419314105,-0.0027600776187942495,-0.0035582887415420003
hda,-0.011520877612209079,-0.0005783592734951526,-0.0012345827178796753,0.005644634675700217,0.0007412182324333116,-0.0011388962459750473,-0.007748150639235974,0.0031117696780711412,-0.0033762262792697583,0.014420130960188987,0.0013916112133301795,0.0018876553583664424,-0.004940057322190902,-0.007843707934953273,0.001339997267932631,-0.0036573851061984896,0.0004888637014311936,-0.002715838883436986,0.0013511278759975585,0.003165613272861439,-0.007488030032254756,-0.00040186701604397966,-0.00010217914728855249,-0.010882123913615942,-0.0018031402651854244,-0.00020097436252399347,0.007988044551197202,-0.00010385977304395056,8.636825434223283e-05,-0.015999546051025392,0.0006212651176610961,-0.007796398326378278,-0.012938195491454215,-0.0034937847480510493,-0.013784048488547265
talA,0.013343897375344025,0.00037089166784426197,-0.0005724379565799609,-0.0038937744265422226,-0.0014494599215686321,-0.0003952887171180919,0.0035888840280034963,0.0011994650244014338,-0.004388766486663372,0.024697230822156843,0.0053547371365129945,-0.016717771924279555,-0.014363996790165139,-0.006998234987258911,0.0005341036650156638,-0.0049257811903953555,0.0014032552529107591,-0.008560451568517181,0.010027262635161112,-0.0032235405660491993,-0.012370682591572403,-0.000605712138058152,-0.0010806555906310677,0.01853997502475977,0.0024492096566335903,-0.00025757999494089743,-0.00019093939950602982,0.0002958890533773229,-0.00036517386251944117,0.0016760478593641891,-0.0007257087511243299,-0.002999000171331143,0.0009807455480584377,-0.008221475715150259,0.016913906290707454
ygeH,-0.003451333919803452,0.0008626815344905481,-0.003210500080604106,0.0014724940352607518,0.0010197202977724374,-0.0017544384067878127,-0.01382705643773079,0.003539464713539928,-0.002290050310548395,-0.005082000768175576,-0.0009973787260241806,0.006824602725718058,-0.00024743470077606314,-0.0057690433505922555,0.005270034158602357,-0.0022213457617908717,-0.0004620338873020514,0.005571101033656867,-0.014570113087509886,-0.0035573532012231806,-0.0013216720713535323,-0.0032828602334484458,-0.0004896152898436413,0.0063715525297448035,-0.0009308668783146975,-0.00036849940341198816,-0.004110272674068333,0.0006017734261695296,-0.0016647723619826137,-0.0011132243170868606,0.0001368903306320135,-0.0056185051798820496,0.004337417025288398,0.004168958827254495,0.002617839278454866
ilvI,-0.0011387191497664335,0.00011116843525087461,-0.0013047813076991588,0.00533487212145701,0.0011650711868423968,-0.0016633021214511245,-0.0029237364391412803,0.005259886267594993,-0.0030560955533292145,-0.001634732370049034,-0.0013246762659400702,-0.008913562745984756,0.012378204153063371,-0.005828908812254667,-0.001188784203841351,-0.003639236914459616,-0.00016311448438721004,0.0010130453870401323,-0.0034079861735212213,0.00224422149736672,0.0037381733534857632,6.830012914178951e-05,-0.00035679188556969165,-0.004778543682768941,-0.0013431311169754445,-0.00029792318120598795,0.0049921024511469176,0.0003415823308750987,-6.242010053028935e-05,0.004107424910180271,7.66606198521913e-05,-0.007412825494703621,-0.005694397287725499,0.002508019642976121,-0.00814530568223604
yfgB,-0.002473931883066667,-0.0004900874281884171,-0.002923676173668355,-0.0009155166763230227,0.0013533349160570651,-0.0021556912874802947,-0.0043843400007223384,0.005504203182645142,0.0031253810529597104,0.002831604110258745,2.8423375197235147e-05,-0.0004153402039053323,-0.009666771647165116,-0.006827098252251744,-0.0048785047163255515,-0.005194912748411298,-0.0014876791174909232,-0.0027885988364284185,0.0025304068213351716,-0.0018159654796460365,0.0028074123500846327,-0.0007571024325443432,-0.0011474919086322188,-0.0028791289823129774,-0.0015063024277213153,-0.0012388769851531833,-0.0009121734783935182,0.0009834737423807382,-3.985253500559338e-05,0.008278247411362826,-0.001210988536477089,-0.007332301698625088,-0.005413502574700749,-0.0024425335868727416,0.02314212509024311
pfkB,-0.008741877446270953,-0.0008961214852752164,-0.0005014323731739978,0.003643881157040596,0.0005386167505639605,-0.0010180385503917933,-0.004370309954837841,0.0033627278637140988,-0.012631163261830806,0.008506700788374717,-0.0008477081201272085,-0.007085852195612258,0.004871597388740053,-0.006304469774477184,-0.004095534898806363,-0.004532633698545396,0.0006799225312083809,-0.008313525040854806,0.004822935006454771,0.0006672605714869705,-0.0022008598793763668,0.0019188455410767346,0.0001428645895794034,0.0032588892290368677,-0.002630344340001646,-0.0005772060720482841,0.01440372408189355,-7.681416825505494e-05,-0.0009660872776294128,-0.0175786142796278,0.0007960380089934915,-0.006624404665534244,0.008101572416666331,0.003985131003511404,-0.01277778194036702
ygeY,0.0006670674282382477,0.0016588416835293174,-5.061520973640654e-05,0.0018350164935691281,0.0005147493357071653,-0.0029938190151005983,-0.003557082827148192,-0.0011660988011863082,-0.05553412109613418,-0.02471298694883178,0.007015638872981071,0.0021596226356220974,0.004729256970020607,-0.004604010442271829,0.005697544789873063,-0.0026822394086048005,-0.0007821215331940112,-0.0005445003281196122,-0.005286198532651466,-0.005141042700493114,0.01823570942506194,-0.0007756004098337144,-0.003508766780141741,-0.006907181239221245,0.00228223213373885,0.0015619401982985438,0.008270792999958738,0.0006457994208903983,6.692631917758263e-05,-0.007541742683388293,-0.004679459603503347,-0.0041889674218390325,0.035845413173765245,0.06689641045938645,0.010063000948128986
secM,-0.016239733265882187,-0.00021379304329457226,0.0008649470342788846,0.005759299430064857,-0.0013225420220987871,-0.0020791931077837945,-0.004256230477681931,0.001771213577594608,2.8365952831563847e-05,-0.017725544527354763,-0.00011276261806415277,-0.01148429134804191,-0.007139264265094528,-0.007483207280747592,-0.007442064206115901,-0.004802967412397266,0.00114730670060398,0.010964646493804823,-0.005311499987901361,0.0008604000149136211,0.012603958863765,-0.0006259833910735324,0.0007808214391116053,-0.008454402703791856,-0.0023692107072925753,-0.0007123162929201499,0.0066128353082991025,-0.00017669628461590038,0.0008318700513336808,0.008807859243825078,0.00247791834641248,-0.003118585247188957,-0.006587599554672988,0.0024049291529146494,0.024575883863677442
iscS,-0.005063381276535567,0.0016775245778262616,-0.005307536399923265,0.004431257769465446,0.0027162396651692687,-0.0023552159126847983,-0.0032909298890872914,0.0019381806720048188,-0.013279662672430277,-0.004451189397425368,0.0013888669654261322,0.0038131607186068037,0.017865195659171676,-0.004411698710173368,-0.004457402464468032,-0.002742067810613662,-0.00042099593180194123,-0.0024071695107832245,-0.0014901784561965384,-0.0004935961710834044,0.0049314347328618165,-0.004295428181067109,0.0001536678431148175,0.003108732424443588,-0.0008345943594773867,-8.980781225545798e-05,0.0006807789010208774,0.0006047006009612233,0.00033098705986049024,0.012133761653676628,0.00014173269191815053,-0.008947311533671436,-0.0030035415465586037,-0.0075651430524885654,0.015145337156636613
